feedback,clean_feedback,sentiment,confidence_score
Stuning even for the non-gamer: This sound track was beautiful! It paints the senery in your mind so well I would recomend it even to people who hate vid. game music! I have played the game Chrono Cross but out of all of the games I have ever played it has the best music! It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras. It would impress anyone who cares to listen! ^_^,stuning even nongamer sound track beautiful paints senery your mind well i would recomend even people who hate vid game music i have played game chrono cross out games i have ever played has best music backs away crude keyboarding takes fresher step grate guitars soulful orchestras would impress anyone who cares listen,negative,-0.0062500000000000056
"The best soundtrack ever to anything.: I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd write a review to disagree a bit. This in my opinino is Yasunori Mitsuda's ultimate masterpiece. The music is timeless and I'm been listening to it for years now and its beauty simply refuses to fade.The price tag on this is pretty staggering I must say, but if you are going to buy any cd for this much money, this is the only one that I feel would be worth every penny.",best soundtrack ever anything im reading lot reviews saying best game soundtrack i figured id write review disagree bit my opinino yasunori mitsudas ultimate masterpiece music timeless im been listening years now its beauty simply refuses fadethe price tag pretty staggering i must say you going buy cd much money only one i feel would worth every penny,positive,0.2611111111111111
"Amazing!: This soundtrack is my favorite music of all time, hands down. The intense sadness of ""Prisoners of Fate"" (which means all the more if you've played the game) and the hope in ""A Distant Promise"" and ""Girl who Stole the Star"" have been an important inspiration to me personally throughout my teen years. The higher energy tracks like ""Chrono Cross ~ Time's Scar~"", ""Time of the Dreamwatch"", and ""Chronomantique"" (indefinably remeniscent of Chrono Trigger) are all absolutely superb as well.This soundtrack is amazing music, probably the best of this composer's work (I haven't heard the Xenogears soundtrack, so I can't say for sure), and even if you've never played the game, it would be worth twice the price to buy it.I wish I could give it 6 stars.",amazing soundtrack my favorite music time hands down intense sadness prisoners fate which means youve played game hope distant promise girl who stole star have been important inspiration me personally throughout my teen years higher energy tracks like chrono cross times scar time dreamwatch chronomantique indefinably remeniscent chrono trigger absolutely superb wellthis soundtrack amazing music probably best composers work i havent heard xenogears soundtrack i cant say sure even youve never played game would worth twice price buy iti wish i could give stars,positive,0.25261437908496737
"Excellent Soundtrack: I truly like this soundtrack and I enjoy video game music. I have played this game and most of the music on here I enjoy and it's truly relaxing and peaceful.On disk one. my favorites are Scars Of Time, Between Life and Death, Forest Of Illusion, Fortress of Ancient Dragons, Lost Fragment, and Drowned Valley.Disk Two: The Draggons, Galdorb - Home, Chronomantique, Prisoners of Fate, Gale, and my girlfriend likes ZelbessDisk Three: The best of the three. Garden Of God, Chronopolis, Fates, Jellyfish sea, Burning Orphange, Dragon's Prayer, Tower Of Stars, Dragon God, and Radical Dreamers - Unstealable Jewel.Overall, this is a excellent soundtrack and should be brought by those that like video game music.Xander Cross",excellent soundtrack i truly like soundtrack i enjoy video game music i have played game most music here i enjoy its truly relaxing peacefulon disk one my favorites scars time between life death forest illusion fortress ancient dragons lost fragment drowned valleydisk two draggons galdorb home chronomantique prisoners fate gale my girlfriend likes zelbessdisk three best three garden god chronopolis fates jellyfish sea burning orphange dragons prayer tower stars dragon god radical dreamers unstealable jeweloverall excellent soundtrack should brought those like video game musicxander cross,positive,0.2727272727272727
"Remember, Pull Your Jaw Off The Floor After Hearing it: If you've played the game, you know how divine the music is! Every single song tells a story of the game, it's that good! The greatest songs are without a doubt, Chrono Cross: Time's Scar, Magical Dreamers: The Wind, The Stars, and the Sea and Radical Dreamers: Unstolen Jewel. (Translation varies) This music is perfect if you ask me, the best it can be. Yasunori Mitsuda just poured his heart on and wrote it down on paper.",remember pull your jaw off floor after hearing youve played game you know how divine music every single song tells story game its good greatest songs without doubt chrono cross times scar magical dreamers wind stars sea radical dreamers unstolen jewel translation varies music perfect you ask me best can yasunori mitsuda just poured his heart wrote down paper,positive,0.3173015873015873
"an absolute masterpiece: I am quite sure any of you actually taking the time to read this have played the game at least once, and heard at least a few of the tracks here. And whether you were aware of it or not, Mitsuda's music contributed greatly to the mood of every single minute of the whole game.Composed of 3 CDs and quite a few songs (I haven't an exact count), all of which are heart-rendering and impressively remarkable, this soundtrack is one I assure you you will not forget. It has everything for every listener -- from fast-paced and energetic (Dancing the Tokage or Termina Home), to slower and more haunting (Dragon God), to purely beautifully composed (Time's Scar), to even some fantastic vocals (Radical Dreamers).This is one of the best videogame soundtracks out there, and surely Mitsuda's best ever. ^_^",absolute masterpiece i am quite sure you actually taking time read have played game least once heard least few tracks here whether you were aware not mitsudas music contributed greatly mood every single minute whole gamecomposed cds quite few songs i havent exact count which heartrendering impressively remarkable soundtrack one i assure you you will not forget has everything every listener fastpaced energetic dancing tokage termina home slower haunting dragon god purely beautifully composed times scar even some fantastic vocals radical dreamersthis one best videogame soundtracks out surely mitsudas best ever,positive,0.2864285714285714
"Buyer beware: This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself! I can't imagine anyone reading the whole thing--I spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another. It is most definitely bad enough to be entered into some kind of a ""worst book"" contest. I can't believe Amazon even sells this kind of thing. Maybe I can offer them my 8th grade term paper on ""To Kill a Mockingbird""--a book I am quite sure Ms. Haddon never heard of. Anyway, unless you are in a mood to send a book to someone as a joke---stay far, far away from this one!",buyer beware selfpublished book you want know whyread few paragraphs those star reviews must have been written ms haddons family friendsor perhaps herself i cant imagine anyone reading whole thingi spent evening book friend we were hysterics reading bits pieces one another most definitely bad enough entered into some kind worst book contest i cant believe amazon even sells kind thing maybe i can offer them my th grade term paper kill mockingbirda book i am quite sure ms haddon never heard anyway unless you mood send book someone jokestay far far away one,positive,0.05000000000000001
"Glorious story: I loved Whisper of the wicked saints. The story was amazing and I was pleasantly surprised at the changes in the book. I am not normaly someone who is into romance novels, but the world was raving about this book and so I bought it. I loved it !! This is a brilliant story because it is so true. This book was so wonderful that I have told all of my friends to read it. It is not a typical romance, it is so much more. Not reading this book is a crime, becuase you are missing out on a heart warming story.",glorious story i loved whisper wicked saints story amazing i pleasantly surprised changes book i am not normaly someone who into romance novels world raving book i bought i loved brilliant story because true book wonderful i have told my friends read not typical romance much not reading book crime becuase you missing out heart warming story,positive,0.44333333333333325
"A FIVE STAR BOOK: I just finished reading Whisper of the Wicked saints. I fell in love with the caracters. I expected an average romance read, but instead I found one of my favorite books of all time. Just when I thought I could predict the outcome I was shocked ! The writting was so descriptive that my heart broke when Julia's did and I felt as if I was there with them instead of just a distant reader. If you are a lover of romance novels then this is a must read. Don't let the cover fool you this book is spectacular!",five star book i just finished reading whisper wicked saints i fell love caracters i expected average romance read instead i found one my favorite books time just when i thought i could predict outcome i shocked writting descriptive my heart broke when julias did i felt i them instead just distant reader you lover romance novels must read dont let cover fool you book spectacular,positive,0.07857142857142858
"Whispers of the Wicked Saints: This was a easy to read book that made me want to keep reading on and on, not easy to put down.It left me wanting to read the follow on, which I hope is coming soon. I used to read a lot but have gotten away from it. This book made me want to read again. Very enjoyable.",whispers wicked saints easy read book made me want keep reading not easy put downit left me wanting read follow which i hope coming soon i used read lot have gotten away book made me want read again very enjoyable,positive,0.21666666666666667
"The Worst!: A complete waste of time. Typographical errors, poor grammar, and a totally pathetic plot add up to absolutely nothing. I'm embarrassed for this author and very disappointed I actually paid for this book.",worst complete waste time typographical errors poor grammar totally pathetic plot add up absolutely nothing im embarrassed author very disappointed i actually paid book,negative,-0.409375
"Great book: This was a great book,I just could not put it down,and could not read it fast enough. Boy what a book the twist and turns in this just keeps you guessing and wanting to know what is going to happen next. This book makes you fall in love and can heat you up,it can also make you so angery. this book can make you go throu several of your emotions. This is a quick read romance. It is something that you will want to end your day off with if you read at night.",great book great booki just could not put downand could not read fast enough boy what book twist turns just keeps you guessing wanting know what going happen next book makes you fall love can heat you upit can also make you angery book can make you go throu several your emotions quick read romance something you will want end your day off you read night,positive,0.32916666666666666
"Great Read: I thought this book was brilliant, but yet realistic. It showed me that to error is human. I loved the fact that this writer showed the loving side of God and not the revengeful side of him. I loved how it twisted and turned and I could not put it down. I also loved The glass castle.",great read i thought book brilliant yet realistic showed me error human i loved fact writer showed loving side god not revengeful side him i loved how twisted turned i could not put down i also loved glass castle,positive,0.39111111111111113
